body-length,wing-length,body-width,wing-width,type
3,5,1.6,0.2,LongEaredOwl
3.2,4.7,1.6,0.2,LongEaredOwl
3.4,4.6,1.4,0.3,LongEaredOwl
3.6,5,1.4,0.2,LongEaredOwl
4.1,5.2,1.5,0.1,LongEaredOwl
3,4.9,1.4,0.2,LongEaredOwl
3.3,5.1,1.7,0.5,LongEaredOwl
3.4,4.8,1.6,0.2,LongEaredOwl
3.7,5.1,1.5,0.4,LongEaredOwl
3.1,4.9,1.5,0.1,LongEaredOwl
3.6,4.6,1,0.2,LongEaredOwl
3.9,5.4,1.7,0.4,LongEaredOwl
3,4.3,1.1,0.1,LongEaredOwl
2.9,4.4,1.4,0.2,LongEaredOwl
3.4,5,1.5,0.2,LongEaredOwl
3.5,5.1,1.4,0.2,LongEaredOwl
3.2,5,1.2,0.2,LongEaredOwl
3.8,5.1,1.9,0.4,LongEaredOwl
3,4.8,1.4,0.3,LongEaredOwl
4.2,5.5,1.4,0.2,LongEaredOwl
3.7,5.4,1.5,0.2,LongEaredOwl
3,4.8,1.4,0.1,LongEaredOwl
3.3,5,1.4,0.2,LongEaredOwl
3.2,4.7,1.3,0.2,LongEaredOwl
3.5,5.1,1.4,0.3,LongEaredOwl
3.4,4.8,1.9,0.2,LongEaredOwl
3.4,5.4,1.5,0.4,LongEaredOwl
3.8,5.1,1.5,0.3,LongEaredOwl
3,4.4,1.3,0.2,LongEaredOwl
3.5,5,1.3,0.3,LongEaredOwl
3.5,5,1.6,0.6,LongEaredOwl
3.9,5.4,1.3,0.4,LongEaredOwl
3.1,4.6,1.5,0.2,LongEaredOwl
3.8,5.7,1.7,0.3,LongEaredOwl
4,5.8,1.2,0.2,LongEaredOwl
3.7,5.3,1.5,0.2,LongEaredOwl
3.4,5,1.6,0.4,LongEaredOwl
3.2,4.4,1.3,0.2,LongEaredOwl
3.4,5.4,1.7,0.2,LongEaredOwl
3.2,4.6,1.4,0.2,LongEaredOwl
3.5,5.5,1.3,0.2,LongEaredOwl
3.1,4.8,1.6,0.2,LongEaredOwl
3.1,4.9,1.5,0.1,LongEaredOwl
3.4,5.2,1.4,0.2,LongEaredOwl
2.3,4.5,1.3,0.3,LongEaredOwl
2.8,6.4,5.6,2.1,SnowyOwl
